,Country,Type of alcohol,Value
691,Togo,Total litres of pure alcohol,1.3
692,Tonga,Beer Servings,36.0
693,Tonga,Spirit Servings,21.0
694,Tonga,Wine Servings,5.0
695,Tonga,Total litres of pure alcohol,1.1
696,Trinidad & Tobago,Beer Servings,197.0
697,Trinidad & Tobago,Spirit Servings,156.0
698,Trinidad & Tobago,Wine Servings,7.0
699,Trinidad & Tobago,Total litres of pure alcohol,6.4
700,Tunisia,Beer Servings,51.0
701,Tunisia,Spirit Servings,3.0
702,Tunisia,Wine Servings,20.0
703,Tunisia,Total litres of pure alcohol,1.3
704,Turkey,Beer Servings,51.0
705,Turkey,Spirit Servings,22.0
706,Turkey,Wine Servings,7.0
707,Turkey,Total litres of pure alcohol,1.4
708,Turkmenistan,Beer Servings,19.0
709,Turkmenistan,Spirit Servings,71.0
710,Turkmenistan,Wine Servings,32.0
711,Turkmenistan,Total litres of pure alcohol,2.2
712,Tuvalu,Beer Servings,6.0
713,Tuvalu,Spirit Servings,41.0
714,Tuvalu,Wine Servings,9.0
715,Tuvalu,Total litres of pure alcohol,1.0
716,Uganda,Beer Servings,45.0
717,Uganda,Spirit Servings,9.0
718,Uganda,Wine Servings,0.0
719,Uganda,Total litres of pure alcohol,8.3
720,Ukraine,Beer Servings,206.0
721,Ukraine,Spirit Servings,237.0
722,Ukraine,Wine Servings,45.0
723,Ukraine,Total litres of pure alcohol,8.9
724,United Arab Emirates,Beer Servings,16.0
725,United Arab Emirates,Spirit Servings,135.0
726,United Arab Emirates,Wine Servings,5.0
727,United Arab Emirates,Total litres of pure alcohol,2.8
728,United Kingdom,Beer Servings,219.0
729,United Kingdom,Spirit Servings,126.0
730,United Kingdom,Wine Servings,195.0
731,United Kingdom,Total litres of pure alcohol,10.4
732,Tanzania,Beer Servings,36.0
733,Tanzania,Spirit Servings,6.0
734,Tanzania,Wine Servings,1.0
735,Tanzania,Total litres of pure alcohol,5.7
736,USA,Beer Servings,249.0
737,USA,Spirit Servings,158.0
738,USA,Wine Servings,84.0
739,USA,Total litres of pure alcohol,8.7
740,Uruguay,Beer Servings,115.0
741,Uruguay,Spirit Servings,35.0
742,Uruguay,Wine Servings,220.0
743,Uruguay,Total litres of pure alcohol,6.6
744,Uzbekistan,Beer Servings,25.0
745,Uzbekistan,Spirit Servings,101.0
746,Uzbekistan,Wine Servings,8.0
747,Uzbekistan,Total litres of pure alcohol,2.4
748,Vanuatu,Beer Servings,21.0
749,Vanuatu,Spirit Servings,18.0
750,Vanuatu,Wine Servings,11.0
751,Vanuatu,Total litres of pure alcohol,0.9
752,Venezuela,Beer Servings,333.0
753,Venezuela,Spirit Servings,100.0
754,Venezuela,Wine Servings,3.0
755,Venezuela,Total litres of pure alcohol,7.7
756,Vietnam,Beer Servings,111.0
757,Vietnam,Spirit Servings,2.0
758,Vietnam,Wine Servings,1.0
759,Vietnam,Total litres of pure alcohol,2.0
760,Yemen,Beer Servings,6.0
761,Yemen,Spirit Servings,0.0
762,Yemen,Wine Servings,0.0
763,Yemen,Total litres of pure alcohol,0.1
764,Zambia,Beer Servings,32.0
765,Zambia,Spirit Servings,19.0
766,Zambia,Wine Servings,4.0
767,Zambia,Total litres of pure alcohol,2.5
768,Zimbabwe,Beer Servings,64.0
769,Zimbabwe,Spirit Servings,18.0
770,Zimbabwe,Wine Servings,4.0
771,Zimbabwe,Total litres of pure alcohol,4.7
